drug	status	target	atc	cas
n-{3-[4-(3-amino-propyl)-piperazin-1-yl]-propyl}-3-nitro-5-(galactopyranosyl)-beta-benzamide	non			
pyridoxal phosphate	non			
biotin	non			
succinic acid	non			
glutamic acid	non			
pyridoxal	non			
leucine	non			
nadh	non			
valine	non			
isoleucine	non			
atp	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
alpha-ketoisocaproic acid	non			
alpha-ketoisovalerate	non			
methylmalonic acid	non			
pyridoxal phosphate	non			
biotin	non			
succinic acid	non			
glutamic acid	non			
pyridoxal	non			
leucine	non			
nadh	non			
valine	non			
isoleucine	non			
atp	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
alpha-ketoisocaproic acid	non			
alpha-ketoisovalerate	non			
methylmalonic acid	non			
pyridoxal phosphate	non			
biotin	non			
succinic acid	non			
glutamic acid	non			
pyridoxal	non			
leucine	non			
nadh	non			
valine	non			
isoleucine	non			
atp	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
alpha-ketoisocaproic acid	non			
alpha-ketoisovalerate	non			
methylmalonic acid	non			
pyridoxal phosphate	non			
biotin	non			
succinic acid	non			
glutamic acid	non			
pyridoxal	non			
leucine	non			
nadh	non			
valine	non			
isoleucine	non			
atp	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
alpha-ketoisocaproic acid	non			
alpha-ketoisovalerate	non			
methylmalonic acid	non			
pyridoxal phosphate	non			
biotin	non			
succinic acid	non			
glutamic acid	non			
pyridoxal	non			
leucine	non			
nadh	non			
valine	non			
isoleucine	non			
atp	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
alpha-ketoisocaproic acid	non			
alpha-ketoisovalerate	non			
methylmalonic acid	non			
pyridoxal phosphate	non			
biotin	non			
succinic acid	non			
glutamic acid	non			
pyridoxal	non			
leucine	non			
nadh	non			
valine	non			
isoleucine	non			
atp	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
alpha-ketoisocaproic acid	non			
alpha-ketoisovalerate	non			
methylmalonic acid	non			
pyridoxal phosphate	non			
biotin	non			
succinic acid	non			
glutamic acid	non			
pyridoxal	non			
leucine	non			
nadh	non			
valine	non			
isoleucine	non			
atp	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
alpha-ketoisocaproic acid	non			
alpha-ketoisovalerate	non			
methylmalonic acid	non			
pyridoxal phosphate	non			
biotin	non			
succinic acid	non			
glutamic acid	non			
pyridoxal	non			
leucine	non			
nadh	non			
valine	non			
isoleucine	non			
atp	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
alpha-ketoisocaproic acid	non			
alpha-ketoisovalerate	non			
methylmalonic acid	non			
pyridoxal phosphate	non			
biotin	non			
succinic acid	non			
glutamic acid	non			
pyridoxal	non			
leucine	non			
nadh	non			
valine	non			
isoleucine	non			
atp	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
alpha-ketoisocaproic acid	non			
alpha-ketoisovalerate	non			
methylmalonic acid	non			
pyridoxal phosphate	non			
biotin	non			
succinic acid	non			
glutamic acid	non			
pyridoxal	non			
leucine	non			
nadh	non			
valine	non			
isoleucine	non			
atp	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
alpha-ketoisocaproic acid	non			
alpha-ketoisovalerate	non			
methylmalonic acid	non			
pyridoxal phosphate	non			
biotin	non			
succinic acid	non			
glutamic acid	non			
pyridoxal	non			
leucine	non			
nadh	non			
valine	non			
isoleucine	non			
atp	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
alpha-ketoisocaproic acid	non			
alpha-ketoisovalerate	non			
methylmalonic acid	non			
pyridoxal phosphate	non			
biotin	non			
succinic acid	non			
glutamic acid	non			
pyridoxal	non			
leucine	non			
nadh	non			
valine	non			
isoleucine	non			
atp	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
alpha-ketoisocaproic acid	non			
alpha-ketoisovalerate	non			
methylmalonic acid	non			
pyridoxal phosphate	non			
biotin	non			
succinic acid	non			
glutamic acid	non			
pyridoxal	non			
leucine	non			
nadh	non			
valine	non			
isoleucine	non			
atp	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
alpha-ketoisocaproic acid	non			
alpha-ketoisovalerate	non			
methylmalonic acid	non			
pyridoxal phosphate	non			
biotin	non			
succinic acid	non			
glutamic acid	non			
pyridoxal	non			
leucine	non			
nadh	non			
valine	non			
isoleucine	non			
atp	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
alpha-ketoisocaproic acid	non			
alpha-ketoisovalerate	non			
methylmalonic acid	non			
pyridoxal phosphate	non			
biotin	non			
succinic acid	non			
glutamic acid	non			
pyridoxal	non			
leucine	non			
nadh	non			
valine	non			
isoleucine	non			
atp	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
alpha-ketoisocaproic acid	non			
alpha-ketoisovalerate	non			
methylmalonic acid	non			
pyridoxal phosphate	non			
biotin	non			
succinic acid	non			
glutamic acid	non			
pyridoxal	non			
leucine	non			
nadh	non			
valine	non			
isoleucine	non			
atp	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
alpha-ketoisocaproic acid	non			
alpha-ketoisovalerate	non			
methylmalonic acid	non			
pyridoxal phosphate	non			
biotin	non			
succinic acid	non			
glutamic acid	non			
pyridoxal	non			
leucine	non			
nadh	non			
valine	non			
isoleucine	non			
atp	non			
acetoacetic acid	non			
flavin adenine dinucleotide	non			
alpha-ketoisocaproic acid	non			
alpha-ketoisovalerate	non			
methylmalonic acid	non			
alpha-ketoisovalerate	non			759-05-7
n-acetyl-l-glutamate	non			1188-37-0
tetrahydrofolic acid	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
ademetionine	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
mercaptopurine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
ademetionine	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
azathioprine	non			
mercaptopurine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
ademetionine	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
tioguanine	non			
adenosine	non			
mercaptopurine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
hypoxanthine	non			68-94-0
heptane-1,2,3-triol	non			
ru78191	non			
(4s-trans)-4-(methylamino)-5,6-dihydro-6-methyl-4h-thieno(2,3-b)thiopyran-2-sulfonamide-7,7-dioxide	non			
decyloxy-methanol	non			
n(6)-(pyridoxal phosphate)-l-lysine	non			2440-59-7
2-deoxy-2-fluoro-α-d-mannose	non			62182-14-3
bis(n-maleimidomethyl)ether	non			15209-14-0
2',4'-dinitrophenyl-2deoxy-2-fluro-b-d-cellobioside	non			
open form of 2'-deoxy-ribofuranose-5'-phosphate	non			
2-[{4-[(2s)-2-{[(allyloxy)carbonyl]amino}-3-({4-[3-hydroxy-2-(methoxycarbonyl)phenoxy]butyl}amino)-3-oxopropyl]phenyl}(carboxycarbonyl)amino]benzoic acid	non			
al5300	non			
rh-1	non			221635-42-3
apstatin	non			160470-73-5
undecanal	non			112-44-7
4-hydroxybutan-2-one	non			590-90-9
9-deazahypoxanthine	non			
(2r,3r,4r,5r)-4,5-dihydroxy-2-(hydroxymethyl)-6-oxo-3-piperidinyl beta-d-glucopyranoside	non			
uridine-5'-diphosphate-4-deoxy-4-fluoro-alpha-d-galactose	non			
balanol	non			
deamido-nad+	non			
tricarbonyl(1,10-phenanthroline)rhenium(1+)	non			
n'-[4-(2,4-dimethyl-1,3-thiazol-5-yl)-2-pyrimidinyl]-n-hydroxyimidoformamide	non			
2-amino-adenosine	non			
3-methylcytosine	non			
3-methyladenine	non			5142-23-4
n-heptylformamide	non			
fotemustine	non		L01AD05	92118-27-9
[(1-{2[(4-carbamimidoyl-phenylamino)-methyl]-1-methyl-1h-benzoimidazol-5-yl}-cyclopropyl)-pyridin-2-yl-methyleneaminooxy]-acetic acid ethyl ester	non			
(2s,3r)-3-amino-2-hydroxy-5-(ethylsulfanyl)pentanoyl-((s)-(-)-(1-naphthyl)ethyl)amide	non			
[4-(1,3,2-dioxaborolan-2-yloxy)methyl]benzamidine	non			
2-nitro-4-cresol	non			119-33-5
balhimycin	non			140932-79-2
(2r)-2-acetamido-3-(octadecyloxy)propyl 2-(methylsulfanyl)ethyl hydrogen phosphate	non			
n-formylpiperidine	non			2591-86-8
3-chloro-9-ethyl-6,7,8,9,10,11-hexahydro-7,11-methanocycloocta[b]quinolin-12-amine	non			
berberine	approved			2086-83-1
allolactose	non			645-03-4
4-(n,n-dimethylamino)cinnamoyl-coa	non			
n-coeleneterazine	non			
hexatantalum dodecabromide	non			
4-methyl-1,2-benzenediol	non			452-86-8
guanosine-3'-monophosphate-5'-diphosphate	non			
beta-d-glucose 6-phosphate	non			15209-12-8
(p-iodophenylacetylamino)methylphosphinic acid	non			
